,,,,,,,,,,,,,,,,,,,,
,,OBJETIVO,CPM,CTR,CVR (VISITAS → CARRITOS),CVR (CARRITOS → PAGOS INI),CVR (PAGOS INI → COMPRAS),AOV (Ticket promedio),CVR (VISITAS → COMPRAS),ROAS,,,,,,,,,,
,,,$1.700,2%,15%,50%,45%,$95.000,"3,00%",4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MES,Día,Importe gastado,CPM ,Alcance,Impresiones,Frecuencia,Clics únicos en el enlace,CTR ,Visitas a la página de destino, agregados al carrito,CVR (VISITAS → CARRITOS),Pagos iniciados,CVR (CARRITOS → PAGOS INI),Compras,CVR (PAGOS INI → COMPRAS),Costo por compra,ROAS,Valor de conv,AOV,CVR (VISITAS → COMPRAS)
,,,,,,,,,,,,,,,,,,,,
JULIO,1/07/2025,$9.951,$1.710,2793,5819,"2,08",42,"1,50",29,7,"24,14%",8,"114,29%",3,"37,50%",$3.317,"25,22",$250.970,$83.657,"10,34%"
,2/07/2025,$10.541,$1.502,3734,7017,"1,88",54,"1,45",49,2,"4,08%",2,"100,00%",1,"50,00%",$10.541,"7,87",$82.990,$82.990,"2,04%"
,3/07/2025,$10.704,$1.739,3468,6154,"1,77",46,"1,33",38,4,"10,53%",4,"100,00%",1,"25,00%",$10.704,"6,82",$72.990,$72.990,"2,63%"
,4/07/2025,$11.192,$1.653,3674,6772,"1,84",65,"1,77",59,3,"5,08%",3,"100,00%",1,"33,33%",$11.192,"7,42",$82.990,$82.990,"1,69%"
,5/07/2025,$8.978,$1.494,3354,6010,"1,79",60,"1,79",60,2,"3,33%",2,"100,00%",1,"50,00%",$8.978,"9,24",$82.990,$82.990,"1,67%"
,6/07/2025,$11.537,$1.331,4681,8669,"1,85",80,"1,71",30,5,"16,67%",4,"80,00%",3,"75,00%",$3.846,"19,89",$229.473,$76.491,"10,00%"
,7/07/2025,$11.028,$1.473,3903,7485,"1,92",65,"1,67",44,5,"11,36%",5,"100,00%",2,"40,00%",$5.514,"15,78",$174.011,$87.006,"4,55%"
,8/07/2025,$11.316,$1.482,4104,7638,"1,86",58,"1,41",43,5,"11,63%",4,"80,00%",4,"100,00%",$2.829,"28,54",$322.962,$80.741,"9,30%"
,9/07/2025,$10.362,$1.400,4187,7402,"1,77",60,"1,43",35,3,"8,57%",2,"66,67%",1,"50,00%",$10.362,"8,20",$84.990,$84.990,"2,86%"
,10/07/2025,$9.031,$1.336,3795,6759,"1,78",55,"1,45",40,2,"5,00%",,"0,00%",,,,,,$0,"0,00%"
,11/07/2025,$9.767,$1.263,4266,7731,"1,81",54,"1,27",28,7,"25,00%",2,"28,57%",2,"100,00%",$4.884,"13,82",$134.982,$67.491,"7,14%"
,12/07/2025,$20.288,$1.394,7472,14552,"1,95",121,"1,62",71,10,"14,08%",4,"40,00%",1,"25,00%",$20.288,"8,38",$169.980,$169.980,"1,41%"
,13/07/2025,$22.216,$1.421,8184,15631,"1,91",131,"1,60",74,3,"4,05%",3,"100,00%",1,"33,33%",$22.216,"3,44",$76.491,$76.491,"1,35%"
,14/07/2025,$21.815,$1.477,7656,14770,"1,93",128,"1,67",85,6,"7,06%",4,"66,67%",1,"25,00%",$21.815,"3,90",$84.990,$84.990,"1,18%"
,15/07/2025,$21.043,$1.678,6568,12542,"1,91",101,"1,54",67,6,"8,96%",3,"50,00%",1,"33,33%",$21.043,"3,21",$67.491,$67.491,"1,49%"
,16/07/2025,$23.463,$1.627,8079,14425,"1,79",149,"1,84",89,12,"13,48%",6,"50,00%",2,"33,33%",$11.732,"6,52",$152.982,$76.491,"2,25%"
,17/07/2025,$20.760,$1.666,7284,12460,"1,71",119,"1,63",81,7,"8,64%",4,"57,14%",1,"25,00%",$20.760,"5,54",$115.000,$115.000,"1,23%"
,18/07/2025,$19.555,$1.980,5672,9878,"1,74",93,"1,64",70,5,"7,14%",4,"80,00%",2,"50,00%",$9.778,"9,20",$179.991,$89.996,"2,86%"
,19/07/2025,$17.862,$2.006,5193,8905,"1,71",91,"1,75",57,4,"7,02%",2,"50,00%",2,"100,00%",$8.931,"9,04",$161.481,$80.741,"3,51%"
,20/07/2025,$21.585,$1.653,7423,13057,"1,76",129,"1,74",76,6,"7,89%",2,"33,33%",,"0,00%",,,,$0,"0,00%"
,21/07/2025,$23.296,$1.583,9238,14720,"1,59",131,"1,42",92,9,"9,78%",7,"77,78%",4,"57,14%",$5.824,"13,84",$322.461,$80.615,"4,35%"
,22/07/2025,$21.446,$1.978,6463,10844,"1,68",103,"1,59",60,3,"5,00%",3,"100,00%",1,"33,33%",$21.446,"3,57",$76.491,$76.491,"1,67%"
,23/07/2025,$20.170,$1.692,7160,11924,"1,67",100,"1,40",59,7,"11,86%",4,"57,14%",2,"50,00%",$10.085,"7,14",$143.982,$71.991,"3,39%"
,24/07/2025,$18.393,$1.589,7097,11573,"1,63",122,"1,72",56,11,"19,64%",5,"45,45%",2,"40,00%",$9.196,"9,24",$169.980,$84.990,"3,57%"
,25/07/2025,$21.024,$1.526,8274,13781,"1,67",132,"1,60",83,6,"7,23%",2,"33,33%",3,"150,00%",$7.008,"12,75",$267.982,$89.327,"3,61%"
,26/07/2025,$93.344,$1.605,33222,58169,"1,75",970,"2,92",400,28,"7,00%",20,"71,43%",6,"30,00%",$15.557,"6,10",$569.433,$94.906,"1,50%"
,27/07/2025,$98.985,$1.642,32459,60270,"1,86",1136,"3,50",437,30,"6,86%",18,"60,00%",4,"22,22%",$24.746,"3,55",$351.771,$87.943,"0,92%"
,28/07/2025,$94.053,$1.504,38182,62515,"1,64",917,"2,40",418,49,"11,72%",34,"69,39%",10,"29,41%",$9.405,"11,38",$1.069.931,$106.993,"2,39%"
,29/07/2025,$85.869,$1.599,35931,53689,"1,49",628,"1,75",308,9,"2,92%",6,"66,67%",5,"83,33%",$17.174,"5,30",$454.960,$90.992,"1,62%"
,30/07/2025,$100.405,$1.528,45206,65727,"1,45",850,"1,88",371,21,"5,66%",10,"47,62%",4,"40,00%",$25.101,"3,21",$322.461,$80.615,"1,08%"
,31/07/2025,$83.722,$1.558,38004,53726,"1,41",652,"1,72",325,20,"6,15%",10,"50,00%",8,"80,00%",$10.465,"8,43",$705.443,$88.180,"2,46%"
,,,,,,,,,,,,,,,,,,,,
,TOTAL,$963.704,$1.584,,,,,"1,73",,,,,,79,,$12.577,"9,54",$6.982.649,$81.179,"3,03%"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AGOSTO,1/08/2025,$79.963,$1.572,38156,50874,"1,33",574,"1,50",276,15,"5,43%",10,"66,67%",4,"40,00%",$19.991,"4,03",$322.461,$80.615,"1,45%"
,2/08/2025,$110.078,$1.843,46956,59714,"1,27",643,"1,37",358,27,"7,54%",18,"66,67%",6,"33,33%",$18.346,"4,61",$507.754,$84.626,"1,68%"
,3/08/2025,$113.938,$1.402,59717,81286,"1,36",832,"1,39",406,16,"3,94%",14,"87,50%",3,"21,43%",$37.979,"1,93",$220.247,$73.416,"0,74%"
,4/08/2025,$111.646,$1.423,54146,78468,"1,45",981,"1,81",442,30,"6,79%",22,"73,33%",12,"54,55%",$9.304,"8,77",$979.387,$81.616,"2,71%"
,5/08/2025,$115.681,$1.792,37947,64568,"1,70",734,"1,93",309,19,"6,15%",16,"84,21%",7,"43,75%",$16.526,"5,70",$659.550,$94.221,"2,27%"
,6/08/2025,$113.419,$1.697,41062,66847,"1,63",910,"2,22",333,34,"10,21%",19,"55,88%",8,"42,11%",$14.177,"6,99",$793.222,$99.153,"2,40%"
,7/08/2025,$115.961,$1.751,39847,66223,"1,66",717,"1,80",282,10,"3,55%",8,"80,00%",3,"37,50%",$38.654,"2,38",$276.481,$92.160,"1,06%"
,8/08/2025,$109.372,$1.804,35952,60634,"1,69",653,"1,82",259,20,"7,72%",11,"55,00%",4,"36,36%",$27.343,"2,62",$286.463,$71.616,"1,54%"
,9/08/2025,$109.443,$1.724,39335,63481,"1,61",636,"1,62",281,16,"5,69%",13,"81,25%",6,"46,15%",$18.241,"4,95",$541.462,$90.244,"2,14%"
,10/08/2025,$120.261,$1.688,47072,71258,"1,51",785,"1,67",311,24,"7,72%",17,"70,83%",6,"35,29%",$20.043,"4,57",$549.453,$91.576,"1,93%"
,11/08/2025,$125.263,$1.566,54934,79998,"1,46",982,"1,79",355,29,"8,17%",16,"55,17%",7,"43,75%",$17.895,"5,05",$632.225,$90.318,"1,97%"
,12/08/2025,$121.865,$1.814,43660,67195,"1,54",735,"1,68",347,23,"6,63%",17,"73,91%",5,"29,41%",$24.373,"4,38",$533.441,$106.688,"1,44%"
,13/08/2025,$122.036,$1.479,57493,82536,"1,44",753,"1,31",348,24,"6,90%",10,"41,67%",4,"40,00%",$30.509,"2,98",$363.461,$90.865,"1,15%"
,14/08/2025,$119.036,$1.716,49680,69357,"1,40",811,"1,63",257,22,"8,56%",11,"50,00%",7,"63,64%",$17.005,"5,39",$642.027,$91.718,"2,72%"
,15/08/2025,$116.363,$1.698,48770,68539,"1,41",731,"1,50",296,15,"5,07%",8,"53,33%",3,"37,50%",$38.788,"2,05",$238.049,$79.350,"1,01%"
,16/08/2025,$122.833,$1.823,50027,67367,"1,35",686,"1,37",330,17,"5,15%",12,"70,59%",2,"16,67%",$61.417,"1,70",$209.041,$104.521,"0,61%"
,17/08/2025,$117.308,$1.760,47542,66650,"1,40",710,"1,49",330,23,"6,97%",12,"52,17%",7,"58,33%",$16.758,"4,95",$580.431,$82.919,"2,12%"
,18/08/2025,$144.611,$1.584,69911,91287,"1,31",1047,"1,50",340,25,"7,35%",15,"60,00%",7,"46,67%",$20.659,"4,72",$682.062,$97.437,"2,06%"
,19/08/2025,$125.497,$1.609,57484,77978,"1,36",849,"1,48",269,24,"8,92%",20,"83,33%",10,"50,00%",$12.550,"6,94",$871.405,$87.141,"3,72%"
,20/08/2025,$124.216,$1.669,49000,74411,"1,52",768,"1,57",234,13,"5,56%",7,"53,85%",3,"42,86%",$41.405,"1,95",$241.882,$80.627,"1,28%"
,21/08/2025,$121.357,$1.693,48558,71695,"1,48",701,"1,44",241,22,"9,13%",13,"59,09%",5,"38,46%",$24.271,"3,97",$481.251,$96.250,"2,07%"
,22/08/2025,$110.196,$1.777,43265,62006,"1,43",586,"1,35",169,20,"11,83%",10,"50,00%",3,"30,00%",$36.732,"2,60",$286.970,$95.657,"1,78%"
,23/08/2025,$142.994,$1.416,75467,100952,"1,34",1026,"1,36",297,22,"7,41%",12,"54,55%",4,"33,33%",$35.749,"2,20",$314.463,$78.616,"1,35%"
,24/08/2025,$139.102,$1.717,52254,81024,"1,55",747,"1,43",251,17,"6,77%",11,"64,71%",4,"36,36%",$34.775,"2,11",$293.437,$73.359,"1,59%"
,25/08/2025,$130.127,$1.809,43395,71919,"1,66",659,"1,52",233,25,"10,73%",18,"72,00%",9,"50,00%",$14.459,"6,74",$877.603,$97.511,"3,86%"
,26/08/2025,$135.101,$1.878,42160,71935,"1,71",640,"1,52",226,15,"6,64%",12,"80,00%",5,"41,67%",$27.020,"3,75",$506.142,$101.228,"2,21%"
,27/08/2025,$133.719,$1.978,43411,67591,"1,56",552,"1,27",182,15,"8,24%",4,"26,67%",1,"25,00%",$133.719,"1,20",$160.182,$160.182,"0,55%"
,28/08/2025,$132.282,$1.980,42387,66804,"1,58",516,"1,22",177,12,"6,78%",5,"41,67%",6,"120,00%",$22.047,"4,82",$637.335,$106.223,"3,39%"
,29/08/2025,$131.668,$1.829,52035,71982,"1,38",568,"1,09",187,21,"11,23%",11,"52,38%",5,"45,45%",$26.334,"3,96",$522.052,$104.410,"2,67%"
,30/08/2025,$132.501,$1.778,55171,74527,"1,35",670,"1,21",226,18,"7,96%",8,"44,44%",7,"87,50%",$18.929,"4,94",$653.930,$93.419,"3,10%"
,31/08/2025,$139.598,$1.665,56583,83847,"1,48",693,"1,22",275,25,"9,09%",16,"64,00%",7,"43,75%",$19.943,"4,76",$664.102,$94.872,"2,55%"
,,,,,,,,,,,,,,,,,,,,
,TOTAL,$3.787.435,$1.708,,,,,"1,52",,,,,,170,,$28.901,"4,12",$15.527.971,$92.663,"1,97%"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SEPTIEMBRE,1/09/2025,$137.243,$1.518,56427,90423,"1,60",692,"1,23",261,23,"8,81%",8,"34,78%",10,"125,00%",$13.724,"6,24",$856.405,$85.641,"3,83%"
,2/09/2025,$135.053,$1.755,50628,76962,"1,52",603,"1,19",234,15,"6,41%",15,"100,00%",2,"13,33%",$67.526,"1,19",$160.182,$80.091,"0,85%"
