DATE,semana,Importe gastado,Alcance,Clicks (FB),CPM,CTR unico,Añadidos al carrito,Pago inicado,Compras,Valor de conversion,ROAS - daily,AOV (daily),CPA - daily,CVR (daily),%Ticket,CPC (FB),Total Ad Spend (FB),Total carts,Cost per ATC,Total checkouts,Cost per checkout,Total sales,CPA - (from start),Valor total conv,Roas - (from start),AOV (lifetime),Click-to-cart ratio,Cart-to-purchase 
1/9/2024,Week 1,$0,0,0,,,0,0,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"$0,00",0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2/9/2024,,$0,0,0,,,0,0,0,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,"$0,00","$0,00",0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,"$0,00",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3/9/2024,,$3.399,3823,35,$705,"0,92%",2,,,,"0,00",#DIV/0!,#DIV/0!,"0,00%",#DIV/0!,"$0,00","$3.398,53",2,"$1.699,27",0,#DIV/0!,0,#DIV/0!,"$0,00","0,00",#DIV/0!,"5,71%","0,00%"
4/9/2024,,$40.929,29366,535,$689,"1,82%",46,19,4,$278.759,"6,81",$69.690,$10.232,"0,75%","14,68%","$76,50","$44.327,42",48,"$889,76",19,"$2.154,15",4,"$11.081,86","$278.759,00","6,29","$69.689,75","8,60%","8,70%"
5/9/2024,,$90.680,55309,1438,$714,"2,60%",86,52,7,$754.754,"8,32",$107.822,$12.954,"0,49%","12,01%","$63,06","$135.007,02",134,"$1.054,41",71,"$1.743,84",11,"$12.273,37","$1.033.513,00","7,66","$93.955,73","5,98%","8,14%"
6/9/2024,,$106.331,56587,1370,$822,"2,42%",68,46,6,$344.831,"3,24",$57.472,$17.722,"0,44%","30,84%","$77,61","$241.337,76",202,"$1.563,69",117,"$2.311,54",17,"$14.196,34","$1.378.344,00","5,71","$81.079,06","4,96%","8,82%"
7/9/2024,,$113.858,58275,1459,$914,"2,50%",71,37,11,$729.861,"6,41",$66.351,$10.351,"0,75%","15,60%","$78,04","$355.195,47",273,"$1.603,63",154,"$3.077,24",28,"$12.685,55","$2.108.205,00","5,94","$75.293,04","4,87%","15,49%"
8/9/2024,Week 2,$113.073,136338,1996,$575,"1,46%",90,44,6,$291.113,"2,57",$48.519,$18.845,"0,30%","38,84%","$56,65","$468.268,41",363,"$1.256,37",198,"$2.569,84",34,"$13.772,60","$2.399.317,50","5,12","$70.568,16","4,51%","6,67%"
9/9/2024,,$126.198,75667,1557,$811,"2,06%",101,63,20,$5.867.604,"46,50",$293.380,$6.310,"1,28%","2,15%","$81,05","$594.466,03",464,"$1.249,48",261,"$2.003,14",54,"$11.008,63","$8.266.921,00","13,91","$153.091,13","6,49%","19,80%"
10/9/2024,,$119.564,66287,1380,$875,"2,08%",72,39,7,$413.829,"3,46",$59.118,$17.081,"0,51%","28,89%","$86,64","$714.029,88",536,"$1.660,61",300,"$3.065,74",61,"$11.705,41","$8.680.750,00","12,16","$142.307,38","5,22%","9,72%"
11/9/2024,,$108.703,59415,1205,$920,"2,03%",58,41,12,$803.501,"7,39",$66.958,$9.059,"1,00%","13,53%","$0,00","$822.732,97",594,"$1.874,19",341,"$2.651,29",73,"$11.270,31","$9.484.251,00","11,53","$129.921,25","4,81%","20,69%"
12/9/2024,,$90.644,81090,1153,$819,"1,42%",57,30,7,$469.761,"5,18",$67.109,$12.949,"0,61%","19,30%","$0,00","$913.377,42",651,"$1.590,25",371,"$3.021,48",80,"$11.417,22","$9.954.012,00","10,90","$124.425,15","4,94%","12,28%"
13/9/2024,,$116.407,55635,1103,$1.172,"1,98%",55,33,10,$690.390,"5,93",$69.039,$11.641,"0,91%","16,86%","$105,54","$1.029.784,01",706,"$2.116,48",404,"$3.527,47",90,"$11.442,04","$10.644.402,00","10,34","$118.271,13","4,99%","18,18%"
14/9/2024,,$111.963,52538,1178,$1.171,"2,24%",76,45,8,$549.742,"4,91",$68.718,$13.995,"0,68%","20,37%","$95,05","$1.141.747,46",782,"$1.473,20",449,"$2.488,08",98,"$11.650,48","$11.194.144,00","9,80","$114.225,96","6,45%","10,53%"
15/9/2024,Week 3,$136.635,60248,1435,$1.116,"2,38%",852,372,44,$3.304.679,"24,19",$75.106,$3.105,"3,07%","4,13%","$95,22","$1.278.382,13",1.634,"$160,37",821,"$367,30",142,"$9.002,69","$14.498.823,00","11,34","$102.104,39","59,37%","5,16%"
16/9/2024,,$155.658,51018,1826,$1.110,"3,58%",679,324,41,$3.201.305,"20,57",$78.081,$3.797,"2,25%","4,86%","$85,25","$1.434.039,71",2.313,"$229,25",1145,"$480,42",183,"$7.836,28","$17.700.128,40","12,34","$96.722,01","37,19%","6,04%"
