url,sku,SKU,nombre,id,categorias,precio_actual,precio_promocional,stock_actual,FEBRERO,MARZO,ABRIL,MAYO,Spend mayo,Spend Junio,JUNIO,JULIO,AGOSTO,ventas ecom,SPEND,ENE LOCALES,FEB LOCAL,MAR LOCAL,AB LOCALES,SUMADEVENTAS,IMAGEN,VALORIZADO,imagen_principal,otras_imagenes
https://gerf.com.ar/productos/Zapatillas-Dione-Negro-Unisex-60-11/,60|11|35,60|11,Zapatillas Dione Negro/Blanco Unisex,260658871,CALZADOH|CalzadodeHombre|Zapatillas|VERTODO|CALZADOM|CalzadosdeMujer|Zapatillas|VERTODO,$84.000,$0,178,82,3,7,0,,$98.347,71,0,11,163,$561,40,178,63,52,425,,$14.952.000,https://acdn-us.mitiendanube.com/stores/005/775/403/products/60-11_1-4dd0fcff3761845cc517423996454659-1024-1024.jpg,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/60-11_4-578fb3ce5c302f124e17423996454547-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/60-11_2-12d34eab7725cec7e717423996451258-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/60-11_3-e55c02efc7878b507d17423996454633-1024-1024.jpg"
https://gerf.com.ar/productos/Zapatillas-Dione-Black-Unisex-60-158/,60|158|35,60|158,Zapatillas Dione Black Unisex,254864296,CALZADOH|CalzadodeHombre|Zapatillas|VERTODO|CALZADOM|CalzadosdeMujer|Zapatillas|VERTODO,$84.000,$0,6,87,7,11,3,,$24.019,13,0,4,121,$56.452,38,139,75,83,443,,$504.000,https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_318_3-de0003b1c94aabae6c17393072003088-1024-1024.png,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_318_2-3c8e88c3d55bdd0bc717393072039146-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_318_6-fe8ce70f2d5c156c5017393072075842-1024-1024.png"
https://gerf.com.ar/productos/zapatillas-nix-024-blanco-gris/,253|07|36,253|07,Zapatillas Nix 024 Blanco/Gris,260689901,CALZADOH|CalzadodeHombre|Zapatillas|VERTODO|CALZADOM|CalzadosdeMujer|Zapatillas|VERTODO,$68.500,$47.950,15,0,4,15,44,$49.311,$42.001,36,1,2,99,$6.316,17,50,11,23,164,,$1.027.500,https://acdn-us.mitiendanube.com/stores/005/775/403/products/whatsapp-image-2023-10-03-at-18-28-58-6-07aaef67cea4694f2417424007644933-1024-1024.jpeg,
https://gerf.com.ar/productos/Zapatillas-Dione-Verde-600-30/,600|30|35,600|30,Zapatillas Dione Verde,254866696,CALZADOH|CalzadodeHombre|Zapatillas|VERTODO|CALZADOM|CalzadosdeMujer|Zapatillas|VERTODO,$84.000,$0,286,52,5,9,3,$67.591,$126.269,27,0,7,96,$17.446,17,39,8,20,153,,$24.024.000,https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_349_3-6e1624ee5ee2c2510d17393104690203-1024-1024.png,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_349_2-69a384c17e206c1d5917393104728505-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_349_6-c2cab43d3d68bb661f17393104771540-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_gerf_3-7d4ee2119beb2eb5ae17393104815713-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_gerf_1_variante02-0dc1ffca336c83e11f17393104857936-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_gerf_2-080799cab7516843c317393104902173-1024-1024.png"
https://gerf.com.ar/productos/Zapatillas-Verona-Bordo-425-111/,425|111|35,425|111,Zapatillas Verona Bordo,254866242,Ofertas|LiquidaciondeTemporada|CALZADOM|CalzadosdeMujer|Zapatillas|VERTODO,$84.900,$59.430,24,13,54,2,8,,$13.747,11,0,9,88,$25.482,2,4,14,4,101,,$1.426.320,https://acdn-us.mitiendanube.com/stores/005/775/403/products/425-111_1-d44cab75b7ebec483b17393086381360-1024-1024.jpeg,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/425-111_2-94aabe2cd04e111efe17393086409540-1024-1024.jpeg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/425-111_3-5d39968d5df35b5bfa17393086437256-1024-1024.jpeg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/425-111_4-898096762b6bec2b9817393086467184-1024-1024.jpeg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/425-111_5-5ba884acdcdeceb43d17393086501359-1024-1024.jpeg"
https://gerf.com.ar/productos/Zapatillas-Dione-Gris/,600|50|35,600|50,Zapatillas Dione Gris,254860068,CALZADOH|CalzadodeHombre|Zapatillas|VERTODO|CALZADOM|CalzadosdeMujer|Zapatillas|VERTODO,$84.000,$0,56,63,1,5,0,$8.744,$39.361,19,1,2,88,$7.408,42,105,37,41,294,,$4.704.000,https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_347_3-f8386ee58d40c8259a17393061664386-1024-1024.png,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_347_2-f877c8b57992d2bf8e17393061709964-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_347_6-b9921a54d97e11e27c17393061748314-1024-1024.png"
https://gerf.com.ar/productos/pack-x3-medias-de-algodon-gerf/,,|,Pack x3 Medias de Algodón GERF,263731567,,$14.990,$0,0,0,0,20,30,,$0,17,7,15,67,$5.415,0,0,0,0,50,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/medias-gf-b55c0377f720f0b6a317438999721698-1024-1024.png,
https://gerf.com.ar/productos/Zapatillas-Praga-Blanco-y-Crema-305-08/,305|08|35,305|08,Zapatillas Praga Blanco y Crema,254866652,CALZADOM|CalzadosdeMujer|Zapatillas|VERTODO,$78.400,$0,10,49,7,0,1,,$58.278,6,1,3,63,$2.253,0,12,7,5,81,,$784.000,https://acdn-us.mitiendanube.com/stores/005/775/403/products/305-08_1-2-b8ae8367b79be3a4d817393102045317-1024-1024.png,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/305-08_2-2-bf997ffecf11143dde17393102077240-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/305-08_3-2-b006cdea047c38c6e717393102109961-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_gerf_1_variante02-2eea7b0749834a1cd017393102133865-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_gerf_2-ecff27e84728daa58117393102162546-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/feed_1080x1080_gerf_3-e9132977aee73a271317393102194606-1024-1024.png"
https://gerf.com.ar/productos/Zapatillas-Verona-Mostaza-425-151/,425|151|35,425|151,Zapatillas Verona Mostaza,254866259,Ofertas|LiquidaciondeTemporada|CALZADOM|CalzadosdeMujer|Zapatillas|VERTODO,$84.900,$59.430,69,13,31,6,2,,$68.866,10,0,12,62,$99.547,0,5,17,3,77,,$4.100.670,https://acdn-us.mitiendanube.com/stores/005/775/403/products/425-151_1-fd11354163bba8896417393086697547-1024-1024.jpeg,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/425-151_2-b15b44945105c0422b17393086730626-1024-1024.jpeg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/425-151_3-1a054e2db966a9901917393086759554-1024-1024.jpeg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/425-151_4-a127b564df842ccc8f17393086793133-1024-1024.jpeg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/425-151_5-ec9a69b93edd6c802117393086828141-1024-1024.jpeg"
https://gerf.com.ar/productos/Zapatillas-Teruel-Verde-Unisex-248-30/,248|30|35,248|30,Zapatillas Teruel Verde Unisex,254866340,Ofertas|LiquidaciondeTemporada|CALZADOH|CalzadodeHombre|Zapatillas|VERTODO|CALZADOM|CalzadosdeMujer|Zapatillas|VERTODO,$71.800,$43.080,24,10,25,1,12,,$15.695,10,0,7,58,$14.897,3,16,52,12,131,,$1.033.920,https://acdn-us.mitiendanube.com/stores/005/775/403/products/248-30_1-fd15e9ec9281fdc62217393090595199-1024-1024.png,"https://acdn-us.mitiendanube.com/stores/005/775/403/products/248-30_2-f6aaddfe5ee905478d17393090629425-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/248-30_3-33ca64f186b53205f117393090660823-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/248-30_4-8068a7a0488389fc0e17393090698062-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/248-30_5-2f213f349e9e6e8ae317393090737683-1024-1024.png,https://acdn-us.mitiendanube.com/stores/005/775/403/products/img_8322-scaled-2484b7ec8578d9571d17393090778952-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/img_8334-scaled-661e8f9e6dbf619bc517393090820644-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/img_8342-scaled-0fa34fdcaed572cb3917393090862984-1024-1024.jpg"
